Longitude,Latitude,Supervisor District,Police District,Analysis Neighborhood
-122.51129492624534,37.77507596005672,1.0,Richmond,Outer Richmond
-122.5103413202934,37.76400083229743,4.0,Richmond,Sunset/Parkside
-122.51016880881625,37.77512752507467,1.0,Richmond,Outer Richmond
-122.51003695716592,37.773259468528074,1.0,Richmond,Outer Richmond
-122.50989475109743,37.771396030943585,1.0,Taraval,Outer Richmond
-122.50987917537486,37.78062720583882,1.0,Richmond,Outer Richmond
-122.50962217512917,37.76212728728012,4.0,Taraval,Sunset/Parkside
-122.50943294181482,37.779851069106634,1.0,Richmond,Outer Richmond
-122.50940219269224,37.76403273428497,4.0,Taraval,Sunset/Parkside
-122.50936831214533,37.778965166359406,1.0,Richmond,Outer Richmond
-122.50926908111616,37.76214292060292,4.0,Taraval,Sunset/Parkside
-122.50922816077126,37.77704400153006,1.0,Richmond,Outer Richmond
-122.5091412242345,37.76028232127865,4.0,Taraval,Sunset/Parkside
-122.50911129148426,37.758414452706255,4.0,Taraval,Sunset/Parkside
-122.50895787330872,37.773308988495096,1.0,Richmond,Outer Richmond
-122.50890254470625,37.75655122870687,4.0,Taraval,Sunset/Parkside
-122.50883392033968,37.75599130998528,4.0,Taraval,Sunset/Parkside
-122.5088231718148,37.77144551590117,1.0,Richmond,Golden Gate Park
-122.50867928573984,37.75469173364875,4.0,Taraval,Sunset/Parkside
-122.50843239782851,37.75283022602155,4.0,Taraval,Sunset/Parkside
-122.50836697970256,37.779922783681776,1.0,Richmond,Outer Richmond
-122.50833136915504,37.76407601862201,4.0,Taraval,Sunset/Parkside
-122.5083006757922,37.77901376274524,1.0,Richmond,Outer Richmond
-122.50827666944072,37.769233921926144,1.0,Richmond,Golden Gate Park
-122.50819857393286,37.76219031110778,4.0,Taraval,Sunset/Parkside
-122.50818665232856,37.75096819873766,4.0,Taraval,Sunset/Parkside
-122.50816055313074,37.77709259567638,1.0,Richmond,Outer Richmond
-122.50809174230253,37.77614912134153,1.0,Richmond,Outer Richmond
-122.50806756135736,37.76032981540315,4.0,Taraval,Sunset/Parkside
-122.5080243933501,37.77522567974258,1.0,Richmond,Outer Richmond
-122.50794154857728,37.74911093709113,4.0,Taraval,Sunset/Parkside
-122.50793631399718,37.75846589114529,4.0,Taraval,Sunset/Parkside
-122.5078918793236,37.7807205378917,1.0,Richmond,Outer Richmond
-122.50788819092588,37.77335806715616,1.0,Richmond,Outer Richmond
-122.50783629974998,37.779958482427496,1.0,Richmond,Outer Richmond
-122.50780484561076,37.75659875521949,4.0,Taraval,Sunset/Parkside
-122.5077506669057,37.77149503305497,1.0,Richmond,Outer Richmond
-122.5076948960707,37.747248533188845,4.0,Taraval,Sunset/Parkside
-122.50767371666304,37.75473633091508,4.0,Taraval,Sunset/Parkside
-122.50754578381816,37.75286945443449,4.0,Taraval,Sunset/Parkside
-122.507442626842,37.74539143420836,4.0,Taraval,Sunset/Parkside
-122.50741622958954,37.751003283475306,4.0,Taraval,Sunset/Parkside
-122.50729998322576,37.779982093594626,1.0,Richmond,Outer Richmond
-122.50728688055536,37.7491399708844,4.0,Taraval,Sunset/Parkside
-122.5072624671014,37.76411620971906,4.0,Taraval,Golden Gate Park
-122.50723363676924,37.77906232124925,1.0,Richmond,Outer Richmond
-122.50715922078068,37.74727227214132,4.0,Taraval,Sunset/Parkside
-122.5071301982847,37.76223759790458,4.0,Taraval,Sunset/Parkside
-122.5070935405303,37.7771411538266,1.0,Richmond,Outer Richmond
-122.50703054283848,37.74540954163695,4.0,Taraval,Sunset/Parkside
-122.50702474846696,37.776197746385165,1.0,Richmond,Outer Richmond
-122.50699920919232,37.760377065041865,4.0,Taraval,Sunset/Parkside
-122.50695742827236,37.77527450214153,1.0,Richmond,Outer Richmond
-122.50689679045983,37.743548248811635,4.0,Taraval,Sunset/Parkside
-122.50686795369272,37.75851265260387,4.0,Taraval,Sunset/Parkside
-122.50686545322156,37.74167301545335,4.0,Taraval,Sunset/Parkside
-122.50682126040734,37.77340700986344,1.0,Richmond,Outer Richmond
-122.50673653730274,37.75664585938931,4.0,Taraval,Sunset/Parkside
-122.50671742965268,37.7354697570021,7.0,Taraval,Lakeshore
-122.5066853156044,37.77154247818916,1.0,Richmond,Outer Richmond
-122.50667573830012,37.73981238341194,4.0,Taraval,Sunset/Parkside
-122.50660545351312,37.75478369941689,4.0,Taraval,Sunset/Parkside
-122.50647634271871,37.75291676213537,4.0,Taraval,Sunset/Parkside
-122.5064356078901,37.73795985156086,4.0,Taraval,Sunset/Parkside
-122.50634752834804,37.751051943278775,4.0,Taraval,Sunset/Parkside
-122.50631414027306,37.73702272897175,4.0,Taraval,Sunset/Parkside
-122.50630201037715,37.76667806484848,1.0,Richmond,Golden Gate Park
-122.5063004760732,37.78099551538569,1.0,Richmond,Outer Richmond
-122.50622149251808,37.77989535963327,1.0,Richmond,Outer Richmond
-122.5062187339932,37.74918733442739,4.0,Taraval,Sunset/Parkside
-122.50619398278234,37.73609568679291,4.0,Taraval,Sunset/Parkside
-122.50619149517162,37.76416613269253,4.0,Taraval,Sunset/Parkside
-122.50616479901107,37.7791109528964,1.0,Richmond,Outer Richmond
-122.50608684659709,37.747319787224384,4.0,Taraval,Sunset/Parkside
-122.50605907625516,37.76228499654453,4.0,Taraval,Sunset/Parkside
-122.50602204590608,37.77718990655103,1.0,Richmond,Outer Richmond
-122.5059581676625,37.745456657658806,4.0,Taraval,Sunset/Parkside
-122.50592811171158,37.7604244265039,4.0,Taraval,Sunset/Parkside
-122.50588421001804,37.77532360067261,1.0,Richmond,Outer Richmond
-122.50582381160288,37.743595632975314,4.0,Taraval,Sunset/Parkside
-122.50579684832913,37.75855952412134,4.0,Taraval,Sunset/Parkside
-122.50574707669384,37.77345627551305,1.0,Richmond,Outer Richmond
-122.50569098901856,37.741716204461575,4.0,Taraval,Sunset/Parkside
-122.50566548279866,37.75669307442711,4.0,Taraval,Sunset/Parkside
-122.50561114831112,37.77159160575347,1.0,Richmond,Golden Gate Park
-122.5055597611716,37.739859243043824,4.0,Taraval,Sunset/Parkside
-122.5055344454739,37.754831179817934,4.0,Taraval,Sunset/Parkside
-122.50542865991886,37.738003993069384,4.0,Taraval,Sunset/Parkside
-122.50540578928003,37.75296410962811,4.0,Taraval,Sunset/Parkside
-122.50536251047386,37.73706786036637,4.0,Taraval,Sunset/Parkside
-122.50529660343425,37.73613514002009,4.0,Taraval,Sunset/Parkside
-122.50527657704949,37.75109315046352,4.0,Taraval,Sunset/Parkside
-122.50525735293871,37.735475286948706,7.0,Taraval,Sunset/Parkside
-122.5052258584134,37.781076642929634,1.0,Richmond,Outer Richmond
-122.50514824280262,37.749234792154994,4.0,Taraval,Sunset/Parkside
-122.50513507748612,37.779799868037706,1.0,Richmond,Outer Richmond
-122.50512012291988,37.76421447740901,4.0,Taraval,Golden Gate Park
